iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	25	0.006	1029
2	50	0.009	1036
3	75	0.011	1036
4	100	0.013	1036
5	125	0.016	1080
6	150	0.021	1080
7	175	0.027	1080
8	200	0.034	1080
9	225	0.04	1080
10	250	0.047	1080
11	275	0.054	1080
12	300	0.064	1080
13	325	0.076	1129
14	350	0.082	1129
15	375	0.088	1129
16	400	0.093	1129
17	425	0.098	1129
18	450	0.102	1129
19	475	0.105	1129
20	500	0.109	1129
21	525	0.113	1129
22	550	0.119	1129
23	575	0.123	1129
24	600	0.127	1129
25	625	0.131	1129
26	650	0.137	1129
27	675	0.142	1129
28	700	0.148	1171
29	725	0.153	1171
30	750	0.157	1171
31	775	0.161	1179
32	800	0.166	1179
33	825	0.171	1195
34	850	0.177	1195
35	875	0.181	1195
36	900	0.185	1195
37	925	0.189	1195
38	950	0.193	1195
39	975	0.197	1219
40	1000	0.201	1219
41	1025	0.205	1222
42	1050	0.209	1222
43	1075	0.213	1222
44	1100	0.217	1222
45	1125	0.221	1222
46	1150	0.225	1222
47	1175	0.229	1222
48	1200	0.233	1222
49	1225	0.237	1222
50	1250	0.241	1222
51	1275	0.245	1222
52	1300	0.249	1243
53	1325	0.254	1243
54	1350	0.258	1243
55	1375	0.262	1243
56	1400	0.266	1243
57	1425	0.27	1243
58	1450	0.273	1243
59	1475	0.278	1243
60	1500	0.282	1243
61	1525	0.285	1243
62	1550	0.289	1243
63	1575	0.293	1243
64	1600	0.296	1243
65	1625	0.3	1243
66	1650	0.304	1243
67	1675	0.308	1243
68	1700	0.312	1243
69	1725	0.317	1243
70	1750	0.321	1243
71	1775	0.325	1243
72	1800	0.329	1243
73	1825	0.334	1250
74	1850	0.338	1261
75	1875	0.342	1261
76	1900	0.346	1261
77	1925	0.35	1261
78	1950	0.354	1261
79	1975	0.359	1290
80	2000	0.363	1290
81	2025	0.367	1290
82	2050	0.371	1290
83	2075	0.376	1290
84	2100	0.385	1290
85	2125	0.39	1290
