iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	1	0.029	336
2	2	0.035	336
3	3	0.037	336
4	4	0.039	386
5	5	0.04	386
6	6	0.042	386
7	7	0.043	425
8	8	0.046	425
9	9	0.049	425
10	10	0.05	425
11	11	0.051	455
12	12	0.053	455
13	13	0.054	455
14	14	0.056	455
15	15	0.058	455
16	16	0.062	455
17	17	0.065	455
18	18	0.067	455
19	19	0.07	455
20	20	0.077	455
21	21	0.079	455
22	22	0.087	455
23	23	0.089	455
24	24	0.09	455
25	25	0.092	455
26	26	0.094	455
27	27	0.098	455
28	28	0.1	455
29	29	0.102	455
30	30	0.104	455
31	31	0.106	455
32	32	0.109	455
33	33	0.111	455
34	34	0.112	455
35	35	0.114	455
36	36	0.115	499
37	37	0.117	499
38	38	0.119	516
39	39	0.121	516
40	40	0.122	516
41	41	0.124	516
42	42	0.125	516
43	43	0.127	516
44	44	0.128	516
45	45	0.13	516
46	46	0.132	516
47	47	0.134	516
48	48	0.136	516
49	49	0.137	516
50	50	0.138	516
51	51	0.14	516
52	52	0.141	516
53	53	0.142	516
54	54	0.143	516
55	55	0.145	517
56	56	0.146	517
57	57	0.147	517
58	58	0.149	517
59	59	0.15	517
60	60	0.151	517
61	61	0.153	517
62	62	0.154	518
63	63	0.155	535
64	64	0.157	535
65	65	0.159	535
66	66	0.16	535
67	67	0.161	535
68	68	0.163	535
69	69	0.164	535
70	70	0.165	535
71	71	0.167	535
72	72	0.168	535
73	73	0.171	535
74	74	0.173	535
75	75	0.174	535
76	76	0.175	535
77	77	0.177	550
78	78	0.178	550
79	79	0.179	550
80	80	0.181	550
81	81	0.182	550
82	82	0.183	550
83	83	0.185	550
84	84	0.186	550
85	85	0.187	550
86	86	0.191	550
87	87	0.193	550
88	88	0.194	550
89	89	0.196	550
90	90	0.198	550
91	91	0.201	550
92	92	0.206	550
93	93	0.208	550
94	94	0.209	596
95	95	0.211	596
96	96	0.213	596
97	97	0.216	596
98	98	0.218	596
99	99	0.219	596
100	100	0.221	596
101	101	0.222	596
102	102	0.224	596
103	103	0.226	596
104	104	0.227	596
105	105	0.228	596
106	106	0.229	596
107	107	0.231	596
108	108	0.232	596
109	109	0.234	596
110	110	0.237	596
111	111	0.239	596
112	112	0.24	596
113	113	0.242	596
114	114	0.244	596
115	115	0.246	596
116	116	0.247	596
117	117	0.251	596
118	118	0.253	596
119	119	0.255	596
120	120	0.256	596
121	121	0.258	596
122	122	0.259	596
123	123	0.261	596
124	124	0.262	596
125	125	0.264	596
126	126	0.267	596
127	127	0.269	596
128	128	0.27	596
129	129	0.272	596
130	130	0.273	596
131	131	0.276	596
132	132	0.278	596
133	133	0.279	596
134	134	0.281	596
135	135	0.282	596
136	136	0.285	596
137	137	0.287	596
138	138	0.288	596
139	139	0.289	596
140	140	0.298	596
141	141	0.3	596
142	142	0.301	596
143	143	0.302	596
144	144	0.304	596
145	145	0.305	596
146	146	0.306	596
147	147	0.308	596
148	148	0.309	596
149	149	0.31	596
150	150	0.312	596
151	151	0.313	596
152	152	0.316	596
153	153	0.32	596
154	154	0.328	596
155	155	0.33	596
156	156	0.334	596
157	157	0.336	596
158	158	0.337	596
159	159	0.339	596
160	160	0.341	596
161	161	0.343	596
162	162	0.345	596
163	163	0.346	596
164	164	0.348	596
165	165	0.353	596
166	166	0.356	596
167	167	0.357	596
168	168	0.359	596
169	169	0.36	596
170	170	0.363	596
171	171	0.366	596
172	172	0.367	596
173	173	0.37	596
174	174	0.372	596
175	175	0.373	596
176	176	0.374	596
177	177	0.377	596
178	178	0.378	596
179	179	0.379	596
180	180	0.381	596
181	181	0.382	596
182	182	0.386	596
183	183	0.388	596
184	184	0.389	596
185	185	0.391	596
186	186	0.403	596
187	187	0.405	596
188	188	0.407	596
189	189	0.409	596
190	190	0.41	596
191	191	0.411	596
192	192	0.413	596
193	193	0.414	596
194	194	0.415	596
195	195	0.416	596
196	196	0.419	596
197	197	0.42	596
198	198	0.421	596
199	199	0.422	596
200	200	0.424	596
201	201	0.425	596
202	202	0.427	596
203	203	0.433	596
204	204	0.436	596
205	205	0.438	596
206	206	0.439	596
207	207	0.441	596
208	208	0.444	596
209	209	0.447	596
210	210	0.448	596
211	211	0.45	596
212	212	0.452	596
213	213	0.453	596
214	214	0.454	596
215	215	0.456	596
216	216	0.457	596
217	217	0.458	596
218	218	0.459	596
219	219	0.46	596
220	220	0.461	596
221	221	0.462	596
222	222	0.464	596
223	223	0.465	596
224	224	0.466	596
225	225	0.467	596
226	226	0.469	596
227	227	0.47	596
228	228	0.471	596
229	229	0.473	596
230	230	0.474	596
231	231	0.476	596
232	232	0.478	596
233	233	0.48	596
234	234	0.482	596
235	235	0.483	596
236	236	0.485	596
237	237	0.486	596
238	238	0.488	596
239	239	0.489	596
240	240	0.49	596
241	241	0.491	596
242	242	0.493	596
243	243	0.494	596
244	244	0.495	596
245	245	0.496	596
246	246	0.498	596
247	247	0.499	596
248	248	0.5	596
249	249	0.501	596
250	250	0.502	598
251	251	0.504	598
252	252	0.505	598
253	253	0.506	598
254	254	0.508	598
255	255	0.509	598
256	256	0.511	598
257	257	0.513	598
258	258	0.515	598
259	259	0.517	598
260	260	0.518	598
261	261	0.519	598
