iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	25	0.0	445
2	50	0.001	529
3	75	0.002	529
4	100	0.003	529
5	125	0.005	529
6	150	0.006	529
7	175	0.008	529
8	200	0.009	529
9	225	0.011	529
10	250	0.013	529
11	275	0.015	529
12	300	0.016	578
13	325	0.018	578
14	350	0.019	578
15	375	0.021	610
16	400	0.022	610
17	425	0.024	610
18	450	0.025	610
19	475	0.027	610
20	500	0.028	617
21	525	0.03	617
22	550	0.031	617
23	575	0.033	617
24	600	0.035	617
25	625	0.039	617
26	650	0.04	617
27	675	0.042	617
28	700	0.043	617
29	725	0.045	617
30	750	0.046	617
31	775	0.048	617
32	800	0.049	617
33	825	0.051	617
34	850	0.052	621
35	875	0.054	621
36	900	0.056	621
37	925	0.057	621
38	950	0.059	621
39	975	0.06	621
40	1000	0.062	621
41	1025	0.063	621
42	1050	0.065	621
43	1075	0.066	621
44	1100	0.067	621
45	1125	0.069	628
46	1150	0.071	628
47	1175	0.072	628
48	1200	0.074	628
49	1225	0.075	643
50	1250	0.077	643
51	1275	0.078	643
52	1300	0.08	643
53	1325	0.081	643
54	1350	0.083	643
55	1375	0.084	643
56	1400	0.086	643
57	1425	0.087	655
58	1450	0.089	655
59	1475	0.091	655
60	1500	0.092	655
61	1525	0.094	655
62	1550	0.095	655
63	1575	0.096	655
64	1600	0.098	655
65	1625	0.099	655
66	1650	0.101	655
67	1675	0.102	655
68	1700	0.104	655
69	1725	0.105	655
70	1750	0.107	655
71	1775	0.108	655
72	1800	0.11	655
73	1825	0.111	655
74	1850	0.113	655
75	1875	0.114	655
76	1900	0.116	655
77	1925	0.117	655
78	1950	0.119	655
79	1975	0.121	655
80	2000	0.122	659
81	2025	0.124	660
82	2050	0.125	660
83	2075	0.126	660
84	2100	0.128	660
85	2125	0.129	660
86	2150	0.131	660
87	2175	0.132	660
88	2200	0.134	660
89	2225	0.135	660
90	2250	0.136	660
91	2275	0.138	660
92	2300	0.139	660
93	2325	0.141	660
94	2350	0.142	660
95	2375	0.143	660
96	2400	0.145	660
97	2425	0.146	660
98	2450	0.148	660
99	2475	0.149	660
100	2500	0.151	660
101	2525	0.152	660
102	2550	0.154	663
103	2575	0.155	670
104	2600	0.157	670
105	2625	0.158	670
106	2650	0.16	670
107	2675	0.161	670
108	2700	0.163	670
109	2725	0.165	670
110	2750	0.166	670
111	2775	0.168	670
112	2800	0.169	670
113	2825	0.17	670
114	2850	0.172	670
115	2875	0.173	670
116	2900	0.175	670
117	2925	0.179	670
118	2950	0.18	670
119	2975	0.181	670
120	3000	0.183	670
121	3025	0.184	670
122	3050	0.186	670
123	3075	0.187	670
124	3100	0.188	670
125	3125	0.189	670
126	3150	0.191	670
127	3175	0.192	670
128	3200	0.193	670
129	3225	0.195	670
130	3250	0.196	670
131	3275	0.197	670
132	3300	0.199	670
133	3325	0.2	670
134	3350	0.201	670
135	3375	0.203	670
136	3400	0.204	670
137	3425	0.206	670
138	3450	0.207	670
139	3475	0.208	670
140	3500	0.209	670
141	3525	0.211	672
142	3550	0.212	672
143	3575	0.214	672
144	3600	0.215	672
145	3625	0.216	672
146	3650	0.217	672
147	3675	0.219	672
148	3700	0.22	672
149	3725	0.221	672
150	3750	0.222	672
151	3775	0.224	675
152	3800	0.225	675
153	3825	0.226	675
154	3850	0.227	675
155	3875	0.228	675
156	3900	0.23	675
157	3925	0.231	675
158	3950	0.232	675
159	3975	0.233	675
160	4000	0.235	675
161	4025	0.236	675
162	4050	0.238	675
163	4075	0.239	675
164	4100	0.24	675
165	4125	0.242	675
166	4150	0.243	675
167	4175	0.245	675
168	4200	0.246	675
169	4225	0.248	675
170	4250	0.249	675
171	4275	0.25	675
172	4300	0.252	675
173	4325	0.253	675
174	4350	0.255	675
175	4375	0.256	675
176	4400	0.258	675
177	4425	0.259	675
178	4450	0.26	687
179	4475	0.262	687
180	4500	0.263	687
181	4525	0.265	687
182	4550	0.266	687
183	4575	0.267	687
184	4600	0.268	687
185	4625	0.27	687
186	4650	0.271	687
187	4675	0.272	687
188	4700	0.274	687
189	4725	0.275	687
190	4750	0.276	687
191	4775	0.278	687
192	4800	0.279	687
193	4825	0.28	687
194	4850	0.281	687
195	4875	0.283	687
196	4900	0.284	687
197	4925	0.285	687
198	4950	0.286	687
199	4975	0.287	687
200	5000	0.288	687
201	5025	0.29	687
202	5050	0.291	687
203	5075	0.292	687
204	5100	0.293	687
205	5125	0.294	687
206	5150	0.295	687
207	5175	0.296	687
208	5200	0.297	687
209	5225	0.298	687
210	5250	0.299	687
211	5275	0.3	687
212	5300	0.301	687
213	5325	0.302	687
214	5350	0.303	687
215	5375	0.304	687
216	5400	0.306	687
217	5425	0.307	687
218	5450	0.308	687
