iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	25	0.0	987
2	50	0.002	1109
3	75	0.003	1109
4	100	0.004	1109
5	125	0.007	1109
6	150	0.01	1134
7	175	0.012	1134
8	200	0.016	1134
9	225	0.018	1134
10	250	0.02	1134
11	275	0.022	1134
12	300	0.024	1134
13	325	0.025	1134
14	350	0.027	1134
15	375	0.029	1134
16	400	0.031	1134
17	425	0.032	1134
18	450	0.035	1134
19	475	0.037	1134
20	500	0.039	1134
21	525	0.041	1134
22	550	0.042	1134
23	575	0.044	1134
24	600	0.046	1134
25	625	0.047	1159
26	650	0.049	1159
27	675	0.05	1159
28	700	0.052	1159
29	725	0.054	1159
30	750	0.056	1159
31	775	0.057	1159
32	800	0.06	1214
33	825	0.062	1214
34	850	0.064	1214
35	875	0.066	1214
36	900	0.068	1214
37	925	0.069	1214
38	950	0.071	1214
39	975	0.073	1214
40	1000	0.074	1214
41	1025	0.076	1214
42	1050	0.077	1214
43	1075	0.079	1214
44	1100	0.081	1214
45	1125	0.082	1214
46	1150	0.084	1214
47	1175	0.085	1214
48	1200	0.087	1214
49	1225	0.088	1214
50	1250	0.09	1214
51	1275	0.092	1214
52	1300	0.093	1214
53	1325	0.095	1214
54	1350	0.097	1224
55	1375	0.099	1224
56	1400	0.1	1224
57	1425	0.102	1224
58	1450	0.103	1262
59	1475	0.105	1262
60	1500	0.107	1262
61	1525	0.108	1262
62	1550	0.11	1336
63	1575	0.112	1336
64	1600	0.113	1336
65	1625	0.115	1336
66	1650	0.116	1336
67	1675	0.118	1336
68	1700	0.12	1336
69	1725	0.121	1336
70	1750	0.123	1336
71	1775	0.125	1336
72	1800	0.126	1336
73	1825	0.128	1336
74	1850	0.129	1336
75	1875	0.131	1336
76	1900	0.133	1336
77	1925	0.134	1336
78	1950	0.136	1336
79	1975	0.138	1336
80	2000	0.139	1336
81	2025	0.141	1336
82	2050	0.143	1336
83	2075	0.144	1336
84	2100	0.146	1336
85	2125	0.147	1336
86	2150	0.149	1336
87	2175	0.15	1336
88	2200	0.152	1336
89	2225	0.154	1336
90	2250	0.155	1336
91	2275	0.157	1336
92	2300	0.159	1336
93	2325	0.161	1336
94	2350	0.163	1336
95	2375	0.165	1336
96	2400	0.166	1336
97	2425	0.168	1336
98	2450	0.169	1336
99	2475	0.171	1336
100	2500	0.172	1336
101	2525	0.174	1336
102	2550	0.176	1336
103	2575	0.177	1336
104	2600	0.179	1336
105	2625	0.18	1336
106	2650	0.182	1336
107	2675	0.184	1336
108	2700	0.185	1336
109	2725	0.187	1336
110	2750	0.188	1336
