iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	1	0.0	347
2	2	0.001	350
3	3	0.002	448
4	4	0.003	448
5	5	0.003	448
6	6	0.004	448
7	7	0.004	459
8	8	0.005	459
9	9	0.006	459
10	10	0.007	474
11	11	0.007	474
12	12	0.008	497
13	13	0.008	497
14	14	0.009	497
15	15	0.01	497
16	16	0.01	497
17	17	0.011	497
18	18	0.012	497
19	19	0.012	497
20	20	0.013	497
21	21	0.013	497
22	22	0.014	497
23	23	0.014	497
24	24	0.016	497
25	25	0.016	497
26	26	0.017	497
27	27	0.018	497
28	28	0.019	497
29	29	0.021	497
30	30	0.021	497
31	31	0.022	497
32	32	0.024	497
33	33	0.025	497
34	34	0.026	497
35	35	0.027	511
36	36	0.028	511
37	37	0.029	511
38	38	0.031	511
39	39	0.032	511
40	40	0.033	511
41	41	0.034	511
42	42	0.035	511
43	43	0.035	511
44	44	0.037	531
45	45	0.038	531
46	46	0.038	531
47	47	0.039	531
48	48	0.039	531
49	49	0.04	531
50	50	0.041	531
51	51	0.041	531
52	52	0.042	531
53	53	0.042	531
54	54	0.043	531
55	55	0.043	531
56	56	0.044	531
57	57	0.045	531
58	58	0.045	531
59	59	0.046	531
60	60	0.046	531
61	61	0.047	531
62	62	0.047	531
63	63	0.048	531
64	64	0.048	531
65	65	0.049	531
66	66	0.05	595
67	67	0.05	595
68	68	0.051	595
69	69	0.051	595
70	70	0.052	595
71	71	0.052	595
72	72	0.053	595
73	73	0.053	595
74	74	0.054	595
75	75	0.054	595
76	76	0.055	595
77	77	0.056	595
78	78	0.056	595
79	79	0.057	595
80	80	0.057	595
81	81	0.058	595
82	82	0.059	595
83	83	0.059	595
84	84	0.06	595
85	85	0.06	595
86	86	0.061	595
87	87	0.061	595
88	88	0.062	595
89	89	0.062	595
90	90	0.063	595
91	91	0.063	595
92	92	0.064	595
93	93	0.064	595
94	94	0.065	595
95	95	0.066	595
96	96	0.066	595
97	97	0.067	595
98	98	0.067	595
99	99	0.068	608
100	100	0.068	608
