iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	25	0.011	444
2	50	0.014	454
3	75	0.019	454
4	100	0.022	490
5	125	0.037	490
6	150	0.066	490
7	175	0.077	490
8	200	0.091	490
9	225	0.101	490
10	250	0.111	490
11	275	0.118	490
12	300	0.124	490
13	325	0.13	490
14	350	0.135	490
15	375	0.142	493
16	400	0.161	493
17	425	0.173	493
18	450	0.18	500
19	475	0.185	500
20	500	0.192	500
21	525	0.197	512
22	550	0.203	512
23	575	0.211	512
24	600	0.217	512
25	625	0.226	570
26	650	0.24	570
27	675	0.267	570
28	700	0.292	570
29	725	0.306	570
30	750	0.317	570
31	775	0.329	570
32	800	0.339	570
33	825	0.352	570
34	850	0.365	570
35	875	0.379	570
36	900	0.385	570
37	925	0.413	570
38	950	0.425	601
39	975	0.439	601
40	1000	0.45	601
41	1025	0.469	601
42	1050	0.479	601
43	1075	0.49	601
44	1100	0.503	601
45	1125	0.514	601
46	1150	0.525	601
47	1175	0.535	601
48	1200	0.541	601
49	1225	0.547	601
50	1250	0.56	601
51	1275	0.572	601
52	1300	0.583	601
53	1325	0.597	601
54	1350	0.607	601
55	1375	0.618	601
56	1400	0.629	609
57	1425	0.64	609
58	1450	0.652	609
59	1475	0.662	609
60	1500	0.668	609
61	1525	0.673	609
62	1550	0.678	609
63	1575	0.683	609
64	1600	0.687	609
65	1625	0.692	609
66	1650	0.696	609
67	1675	0.7	609
68	1700	0.703	609
69	1725	0.708	624
70	1750	0.714	624
71	1775	0.719	624
72	1800	0.723	624
73	1825	0.727	624
74	1850	0.731	624
75	1875	0.736	624
76	1900	0.746	624
77	1925	0.75	624
78	1950	0.756	624
79	1975	0.763	624
80	2000	0.77	624
81	2025	0.777	624
82	2050	0.782	624
83	2075	0.786	624
84	2100	0.79	624
85	2125	0.796	624
86	2150	0.804	624
87	2175	0.808	624
88	2200	0.811	624
89	2225	0.818	624
90	2250	0.826	624
91	2275	0.831	624
92	2300	0.835	624
93	2325	0.839	624
94	2350	0.849	624
95	2375	0.855	624
96	2400	0.86	624
97	2425	0.863	624
98	2450	0.87	624
99	2475	0.874	624
100	2500	0.876	624
101	2525	0.879	624
102	2550	0.882	624
103	2575	0.89	624
104	2600	0.894	624
105	2625	0.899	624
106	2650	0.914	624
107	2675	0.921	624
108	2700	0.925	624
109	2725	0.928	624
110	2750	0.931	624
111	2775	0.933	624
112	2800	0.935	624
113	2825	0.937	624
114	2850	0.939	624
115	2875	0.944	624
116	2900	0.946	624
117	2925	0.948	624
118	2950	0.95	624
119	2975	0.951	624
120	3000	0.953	624
121	3025	0.956	624
122	3050	0.958	624
123	3075	0.96	624
124	3100	0.962	624
125	3125	0.963	624
126	3150	0.966	624
127	3175	0.968	634
128	3200	0.97	634
129	3225	0.972	634
130	3250	0.974	634
131	3275	0.975	634
132	3300	0.977	634
133	3325	0.978	634
134	3350	0.98	634
135	3375	0.982	634
136	3400	0.983	634
137	3425	0.985	634
138	3450	0.988	634
139	3475	0.99	634
140	3500	0.991	634
141	3525	0.993	634
142	3550	0.995	634
143	3575	0.996	634
144	3600	0.998	634
145	3625	1.003	634
146	3650	1.007	634
147	3675	1.009	634
148	3700	1.01	634
149	3725	1.014	634
150	3750	1.015	634
151	3775	1.017	634
152	3800	1.021	634
153	3825	1.024	634
154	3850	1.028	634
155	3875	1.032	634
156	3900	1.035	634
157	3925	1.038	634
158	3950	1.041	634
159	3975	1.044	634
160	4000	1.046	634
161	4025	1.048	634
162	4050	1.052	634
163	4075	1.054	634
164	4100	1.055	634
165	4125	1.057	634
166	4150	1.059	634
167	4175	1.06	634
168	4200	1.064	634
169	4225	1.065	634
170	4250	1.071	634
171	4275	1.073	634
172	4300	1.078	634
173	4325	1.08	634
174	4350	1.081	634
175	4375	1.082	634
176	4400	1.084	634
177	4425	1.085	634
178	4450	1.087	634
179	4475	1.089	634
180	4500	1.091	634
181	4525	1.092	634
182	4550	1.093	634
183	4575	1.095	634
184	4600	1.096	634
185	4625	1.098	634
186	4650	1.1	634
187	4675	1.101	634
188	4700	1.103	634
189	4725	1.104	634
190	4750	1.107	634
191	4775	1.118	634
192	4800	1.12	634
193	4825	1.122	634
194	4850	1.126	634
195	4875	1.13	634
196	4900	1.133	634
197	4925	1.135	634
198	4950	1.136	634
199	4975	1.138	634
200	5000	1.139	634
201	5025	1.14	634
202	5050	1.143	634
203	5075	1.145	634
204	5100	1.147	634
205	5125	1.149	634
206	5150	1.151	634
207	5175	1.153	634
208	5200	1.154	634
209	5225	1.156	634
210	5250	1.158	634
211	5275	1.16	634
212	5300	1.161	634
213	5325	1.163	634
214	5350	1.166	634
215	5375	1.169	634
216	5400	1.17	634
217	5425	1.171	634
218	5450	1.173	634
219	5475	1.174	634
220	5500	1.176	634
221	5525	1.178	634
222	5550	1.181	634
223	5575	1.183	634
224	5600	1.191	634
225	5625	1.194	634
226	5650	1.196	634
227	5675	1.201	634
228	5700	1.202	634
229	5725	1.204	634
230	5750	1.205	634
231	5775	1.206	634
232	5800	1.208	634
233	5825	1.209	634
234	5850	1.211	634
235	5875	1.213	634
236	5900	1.214	634
237	5925	1.216	634
238	5950	1.217	634
239	5975	1.22	634
240	6000	1.221	634
241	6025	1.222	634
242	6050	1.223	634
243	6075	1.225	634
244	6100	1.227	634
245	6125	1.228	634
246	6150	1.23	634
247	6175	1.231	634
248	6200	1.233	634
249	6225	1.235	634
250	6250	1.236	634
251	6275	1.24	634
252	6300	1.246	634
253	6325	1.254	634
254	6350	1.26	634
255	6375	1.264	634
256	6400	1.268	634
257	6425	1.279	634
258	6450	1.294	634
259	6475	1.298	634
260	6500	1.302	634
261	6525	1.305	634
262	6550	1.309	634
263	6575	1.311	634
264	6600	1.314	634
265	6625	1.317	634
266	6650	1.321	634
267	6675	1.323	634
268	6700	1.326	634
269	6725	1.329	634
270	6750	1.333	634
271	6775	1.335	634
272	6800	1.337	634
273	6825	1.34	634
274	6850	1.342	634
275	6875	1.344	634
276	6900	1.347	634
277	6925	1.349	634
278	6950	1.352	634
279	6975	1.354	634
280	7000	1.357	634
281	7025	1.359	634
282	7050	1.364	634
283	7075	1.366	634
284	7100	1.369	634
285	7125	1.372	634
286	7150	1.375	634
287	7175	1.378	634
288	7200	1.381	634
289	7225	1.383	634
290	7250	1.386	634
291	7275	1.388	634
292	7300	1.391	634
293	7325	1.397	634
294	7350	1.401	634
295	7375	1.403	634
296	7400	1.406	634
297	7425	1.409	634
298	7450	1.412	634
299	7475	1.415	634
300	7500	1.417	634
301	7525	1.42	634
302	7550	1.422	634
303	7575	1.425	634
304	7600	1.428	634
305	7625	1.431	634
306	7650	1.433	634
307	7675	1.435	634
308	7700	1.437	634
309	7725	1.441	634
310	7750	1.443	634
311	7775	1.445	634
312	7800	1.448	634
313	7825	1.45	634
314	7850	1.453	634
315	7875	1.455	634
316	7900	1.457	634
317	7925	1.464	634
318	7950	1.467	634
319	7975	1.469	634
320	8000	1.471	634
321	8025	1.474	634
322	8050	1.476	634
323	8075	1.478	634
324	8100	1.48	634
325	8125	1.483	634
326	8150	1.487	634
327	8175	1.49	634
328	8200	1.493	634
329	8225	1.497	634
330	8250	1.502	634
331	8275	1.505	634
332	8300	1.507	634
333	8325	1.51	634
334	8350	1.512	634
335	8375	1.514	634
336	8400	1.516	634
337	8425	1.518	634
338	8450	1.522	634
339	8475	1.525	634
340	8500	1.527	634
341	8525	1.529	634
342	8550	1.531	634
343	8575	1.534	634
344	8600	1.538	634
345	8625	1.541	634
346	8650	1.544	634
347	8675	1.546	634
348	8700	1.548	634
349	8725	1.551	634
350	8750	1.553	634
351	8775	1.555	634
352	8800	1.558	634
353	8825	1.56	634
354	8850	1.563	634
355	8875	1.565	634
356	8900	1.567	634
357	8925	1.569	634
358	8950	1.571	634
359	8975	1.573	634
360	9000	1.575	634
361	9025	1.581	634
362	9050	1.584	634
363	9075	1.586	634
364	9100	1.588	634
365	9125	1.591	634
366	9150	1.593	634
367	9175	1.595	634
368	9200	1.599	634
369	9225	1.601	634
370	9250	1.603	634
371	9275	1.605	634
372	9300	1.607	634
373	9325	1.61	634
374	9350	1.612	634
375	9375	1.615	634
376	9400	1.618	634
377	9425	1.621	634
378	9450	1.623	634
379	9475	1.626	634
380	9500	1.628	634
381	9525	1.63	634
382	9550	1.633	634
383	9575	1.637	634
384	9600	1.64	634
385	9625	1.645	634
386	9650	1.65	634
387	9675	1.656	634
