iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	1	0.0	774
2	2	0.002	774
3	3	0.003	845
4	4	0.004	983
5	5	0.006	983
6	6	0.018	983
7	7	0.019	1050
8	8	0.02	1050
9	9	0.021	1050
10	10	0.022	1050
11	11	0.023	1050
12	12	0.024	1050
13	13	0.024	1050
14	14	0.025	1050
15	15	0.026	1050
16	16	0.027	1050
17	17	0.028	1050
18	18	0.029	1050
19	19	0.029	1050
20	20	0.03	1050
21	21	0.031	1053
22	22	0.032	1053
23	23	0.033	1053
24	24	0.034	1053
25	25	0.034	1053
26	26	0.035	1053
27	27	0.036	1053
28	28	0.037	1053
29	29	0.038	1053
30	30	0.039	1053
31	31	0.04	1053
32	32	0.041	1053
33	33	0.042	1053
34	34	0.043	1053
35	35	0.043	1053
36	36	0.044	1053
37	37	0.045	1053
38	38	0.046	1053
39	39	0.047	1100
40	40	0.048	1100
41	41	0.048	1100
42	42	0.049	1100
43	43	0.05	1100
44	44	0.051	1100
45	45	0.052	1100
46	46	0.053	1100
47	47	0.054	1100
48	48	0.054	1100
49	49	0.055	1100
50	50	0.056	1100
51	51	0.057	1100
52	52	0.058	1100
53	53	0.058	1100
54	54	0.059	1100
55	55	0.06	1100
56	56	0.061	1100
57	57	0.061	1100
58	58	0.062	1100
59	59	0.063	1100
60	60	0.064	1100
61	61	0.064	1100
62	62	0.065	1100
63	63	0.066	1100
64	64	0.067	1100
65	65	0.068	1100
66	66	0.068	1173
67	67	0.069	1173
68	68	0.07	1173
69	69	0.071	1173
70	70	0.072	1180
71	71	0.073	1180
72	72	0.073	1180
73	73	0.074	1180
74	74	0.075	1180
75	75	0.076	1180
76	76	0.077	1180
77	77	0.077	1180
78	78	0.078	1180
79	79	0.079	1180
80	80	0.08	1182
81	81	0.081	1182
82	82	0.081	1182
83	83	0.082	1182
84	84	0.083	1182
85	85	0.084	1182
86	86	0.085	1182
87	87	0.085	1182
88	88	0.086	1182
89	89	0.087	1182
90	90	0.088	1182
91	91	0.089	1182
92	92	0.089	1182
93	93	0.09	1182
94	94	0.091	1182
95	95	0.092	1182
96	96	0.092	1182
97	97	0.093	1182
98	98	0.094	1182
99	99	0.094	1182
100	100	0.095	1182
