iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	1	0.0	330
2	2	0.002	330
3	3	0.003	330
4	4	0.004	404
5	5	0.006	404
6	6	0.008	404
7	7	0.009	404
8	8	0.01	404
9	9	0.011	404
10	10	0.012	404
11	11	0.012	469
12	12	0.013	507
13	13	0.014	507
14	14	0.015	507
15	15	0.016	507
16	16	0.016	507
17	17	0.017	507
18	18	0.018	507
19	19	0.019	507
20	20	0.02	507
21	21	0.021	507
22	22	0.022	507
23	23	0.023	507
24	24	0.024	507
25	25	0.025	507
26	26	0.033	507
27	27	0.034	507
28	28	0.035	534
29	29	0.036	534
30	30	0.037	534
31	31	0.038	534
32	32	0.039	538
33	33	0.04	538
34	34	0.041	538
35	35	0.042	538
36	36	0.042	538
37	37	0.043	538
38	38	0.044	538
39	39	0.045	538
40	40	0.046	538
41	41	0.047	538
42	42	0.047	538
43	43	0.048	538
44	44	0.049	538
45	45	0.05	538
46	46	0.051	538
47	47	0.052	538
48	48	0.052	538
49	49	0.053	538
50	50	0.054	538
51	51	0.055	538
52	52	0.056	538
53	53	0.057	538
54	54	0.058	538
55	55	0.059	538
56	56	0.059	538
57	57	0.06	538
58	58	0.061	538
59	59	0.062	538
60	60	0.063	538
61	61	0.064	538
62	62	0.065	538
63	63	0.066	538
64	64	0.066	538
65	65	0.067	538
66	66	0.068	538
67	67	0.069	538
68	68	0.069	538
69	69	0.07	538
70	70	0.071	538
71	71	0.072	538
72	72	0.073	538
73	73	0.073	538
74	74	0.074	538
75	75	0.075	538
76	76	0.076	538
77	77	0.077	538
78	78	0.078	538
79	79	0.078	538
80	80	0.079	555
81	81	0.08	555
82	82	0.081	555
83	83	0.082	555
84	84	0.082	555
85	85	0.083	555
86	86	0.084	555
87	87	0.086	555
88	88	0.087	555
89	89	0.09	555
90	90	0.092	555
91	91	0.098	555
92	92	0.099	555
93	93	0.1	555
94	94	0.101	555
95	95	0.102	555
96	96	0.102	555
97	97	0.103	555
98	98	0.104	555
99	99	0.105	555
100	100	0.106	555
