iteration	evaluations	runtime[s]	MAX_Aislamiento[MAX]
1	1	0.0	336
2	2	0.002	336
3	3	0.003	336
4	4	0.004	336
5	5	0.005	347
6	6	0.006	387
7	7	0.007	465
8	8	0.007	465
9	9	0.008	465
10	10	0.009	465
11	11	0.01	475
12	12	0.011	475
13	13	0.012	475
14	14	0.013	475
15	15	0.014	475
16	16	0.019	490
17	17	0.02	504
18	18	0.021	504
19	19	0.026	504
20	20	0.027	504
21	21	0.028	504
22	22	0.029	504
23	23	0.031	504
24	24	0.035	504
25	25	0.036	504
26	26	0.042	504
27	27	0.043	504
28	28	0.044	504
29	29	0.045	504
30	30	0.05	504
31	31	0.051	504
32	32	0.052	504
33	33	0.053	504
34	34	0.073	504
35	35	0.074	504
36	36	0.075	504
37	37	0.076	504
38	38	0.077	504
39	39	0.078	504
40	40	0.079	504
41	41	0.08	504
42	42	0.081	504
43	43	0.081	504
44	44	0.082	504
45	45	0.083	504
46	46	0.084	504
47	47	0.085	509
48	48	0.086	509
49	49	0.086	509
50	50	0.088	509
51	51	0.088	509
52	52	0.089	509
53	53	0.09	509
54	54	0.091	509
55	55	0.092	509
56	56	0.093	509
57	57	0.094	509
58	58	0.095	509
59	59	0.096	509
60	60	0.097	509
61	61	0.098	509
62	62	0.098	509
63	63	0.099	509
64	64	0.1	509
65	65	0.101	509
66	66	0.102	509
67	67	0.103	509
68	68	0.104	509
69	69	0.105	509
70	70	0.106	509
71	71	0.106	509
72	72	0.107	509
73	73	0.108	509
74	74	0.11	509
75	75	0.111	509
76	76	0.112	509
77	77	0.113	509
78	78	0.114	509
79	79	0.115	509
80	80	0.116	509
81	81	0.117	509
82	82	0.117	509
83	83	0.118	509
84	84	0.119	509
85	85	0.12	509
86	86	0.121	509
87	87	0.122	509
88	88	0.123	509
89	89	0.125	509
90	90	0.126	509
91	91	0.128	509
92	92	0.129	509
93	93	0.13	509
94	94	0.131	509
95	95	0.132	509
96	96	0.132	509
97	97	0.133	509
98	98	0.134	509
99	99	0.135	509
100	100	0.136	509
101	101	0.136	509
102	102	0.138	509
103	103	0.139	509
104	104	0.14	509
105	105	0.141	509
106	106	0.142	509
107	107	0.142	509
108	108	0.143	509
109	109	0.144	509
110	110	0.145	509
111	111	0.146	509
112	112	0.146	509
113	113	0.147	509
114	114	0.148	509
115	115	0.149	509
116	116	0.15	509
117	117	0.151	509
118	118	0.152	509
119	119	0.152	509
120	120	0.153	509
121	121	0.154	509
122	122	0.155	509
123	123	0.156	509
124	124	0.157	509
125	125	0.158	509
126	126	0.159	509
127	127	0.16	509
128	128	0.161	509
129	129	0.162	509
130	130	0.163	509
131	131	0.163	509
132	132	0.164	509
133	133	0.165	509
134	134	0.166	509
135	135	0.167	509
136	136	0.168	509
137	137	0.168	509
138	138	0.169	526
139	139	0.17	526
140	140	0.171	526
141	141	0.172	526
142	142	0.172	526
143	143	0.174	526
144	144	0.174	526
145	145	0.175	526
146	146	0.176	526
147	147	0.177	526
148	148	0.178	526
149	149	0.179	526
150	150	0.18	526
151	151	0.181	526
152	152	0.182	526
153	153	0.183	526
154	154	0.183	526
155	155	0.184	526
156	156	0.186	526
157	157	0.192	526
158	158	0.193	526
159	159	0.195	526
160	160	0.196	526
161	161	0.197	526
162	162	0.198	526
163	163	0.199	526
164	164	0.2	526
165	165	0.201	526
166	166	0.202	526
167	167	0.202	526
168	168	0.203	550
169	169	0.204	550
170	170	0.205	550
171	171	0.206	550
172	172	0.206	550
173	173	0.207	550
174	174	0.208	550
175	175	0.209	550
176	176	0.21	550
177	177	0.21	559
178	178	0.211	559
179	179	0.212	559
180	180	0.213	559
181	181	0.213	559
182	182	0.214	559
183	183	0.215	559
184	184	0.217	559
185	185	0.22	559
186	186	0.221	559
187	187	0.222	559
188	188	0.223	559
189	189	0.223	559
190	190	0.224	559
191	191	0.225	559
192	192	0.226	559
193	193	0.226	559
194	194	0.227	559
195	195	0.228	559
196	196	0.229	559
197	197	0.23	559
198	198	0.23	559
199	199	0.231	559
200	200	0.232	559
201	201	0.233	559
202	202	0.241	559
203	203	0.241	559
204	204	0.242	559
205	205	0.243	559
206	206	0.244	559
207	207	0.244	559
208	208	0.245	559
209	209	0.246	559
210	210	0.247	559
211	211	0.249	559
212	212	0.251	559
213	213	0.252	559
214	214	0.254	559
215	215	0.254	559
216	216	0.255	561
217	217	0.256	561
218	218	0.257	570
219	219	0.258	570
220	220	0.259	572
221	221	0.261	572
222	222	0.262	572
223	223	0.264	572
224	224	0.266	572
225	225	0.267	572
226	226	0.268	572
227	227	0.27	572
228	228	0.271	572
229	229	0.272	572
230	230	0.272	572
231	231	0.273	572
232	232	0.274	572
233	233	0.275	572
234	234	0.275	572
235	235	0.276	572
236	236	0.278	572
237	237	0.279	572
238	238	0.281	572
239	239	0.282	572
240	240	0.284	572
241	241	0.284	572
242	242	0.285	572
243	243	0.286	572
244	244	0.286	572
245	245	0.287	572
246	246	0.288	572
247	247	0.289	572
248	248	0.289	572
249	249	0.29	572
250	250	0.291	572
251	251	0.292	572
252	252	0.293	572
253	253	0.293	572
254	254	0.294	572
255	255	0.295	572
256	256	0.296	572
257	257	0.296	572
258	258	0.297	572
259	259	0.298	572
260	260	0.299	572
261	261	0.3	572
262	262	0.301	572
263	263	0.302	572
264	264	0.302	572
265	265	0.303	572
266	266	0.304	572
267	267	0.305	572
268	268	0.305	572
269	269	0.306	572
270	270	0.307	572
271	271	0.308	572
272	272	0.31	572
273	273	0.311	572
274	274	0.312	572
275	275	0.313	572
276	276	0.314	572
277	277	0.315	572
278	278	0.316	572
279	279	0.317	572
280	280	0.317	572
281	281	0.318	572
282	282	0.319	572
283	283	0.319	572
284	284	0.32	572
285	285	0.321	572
286	286	0.322	572
287	287	0.323	572
288	288	0.324	572
289	289	0.324	572
290	290	0.325	572
291	291	0.326	572
292	292	0.327	572
293	293	0.327	572
294	294	0.328	572
295	295	0.329	572
296	296	0.33	572
297	297	0.331	572
298	298	0.332	572
299	299	0.333	572
300	300	0.334	572
301	301	0.335	572
302	302	0.335	572
303	303	0.336	572
304	304	0.337	572
305	305	0.338	572
306	306	0.339	572
307	307	0.34	572
308	308	0.341	572
309	309	0.342	572
310	310	0.343	572
311	311	0.343	572
312	312	0.344	572
313	313	0.345	572
314	314	0.346	572
315	315	0.347	572
316	316	0.348	572
317	317	0.348	572
318	318	0.349	572
319	319	0.35	572
320	320	0.351	572
321	321	0.352	572
322	322	0.353	572
323	323	0.355	572
324	324	0.357	572
325	325	0.358	572
326	326	0.359	572
327	327	0.359	572
328	328	0.36	572
329	329	0.361	572
330	330	0.362	572
331	331	0.363	572
332	332	0.364	572
333	333	0.365	572
334	334	0.366	572
335	335	0.367	572
336	336	0.368	572
337	337	0.37	572
338	338	0.372	572
339	339	0.372	572
340	340	0.373	572
341	341	0.374	572
342	342	0.375	572
343	343	0.376	572
344	344	0.377	572
345	345	0.378	572
346	346	0.379	572
347	347	0.38	572
348	348	0.381	572
349	349	0.382	572
350	350	0.382	572
351	351	0.384	572
352	352	0.385	572
353	353	0.386	572
354	354	0.387	572
355	355	0.387	572
356	356	0.388	572
357	357	0.389	572
358	358	0.39	572
359	359	0.39	572
360	360	0.391	572
361	361	0.392	572
362	362	0.393	572
363	363	0.394	572
364	364	0.395	572
365	365	0.395	572
366	366	0.396	572
367	367	0.397	572
368	368	0.398	572
369	369	0.399	572
370	370	0.399	572
371	371	0.4	572
372	372	0.401	572
373	373	0.402	572
374	374	0.403	572
375	375	0.404	572
376	376	0.405	572
377	377	0.405	572
378	378	0.406	572
379	379	0.407	572
380	380	0.408	572
381	381	0.408	572
382	382	0.409	572
383	383	0.41	572
384	384	0.411	572
385	385	0.411	572
386	386	0.412	572
387	387	0.413	572
388	388	0.414	572
389	389	0.414	572
390	390	0.415	572
391	391	0.416	572
392	392	0.417	572
393	393	0.417	572
394	394	0.418	600
395	395	0.419	600
396	396	0.42	600
397	397	0.421	600
398	398	0.422	600
399	399	0.423	600
400	400	0.424	600
401	401	0.424	600
402	402	0.425	600
403	403	0.426	600
404	404	0.427	600
405	405	0.428	600
406	406	0.428	600
407	407	0.429	600
408	408	0.43	600
409	409	0.432	600
410	410	0.435	600
411	411	0.436	600
412	412	0.437	600
413	413	0.438	600
414	414	0.439	600
415	415	0.44	600
416	416	0.441	600
417	417	0.441	600
418	418	0.442	600
419	419	0.443	600
420	420	0.444	600
421	421	0.444	600
422	422	0.445	600
423	423	0.446	600
424	424	0.447	600
425	425	0.448	600
426	426	0.448	600
427	427	0.451	600
428	428	0.453	600
429	429	0.455	600
430	430	0.457	600
431	431	0.457	600
432	432	0.458	600
433	433	0.459	600
434	434	0.459	600
435	435	0.461	600
436	436	0.461	600
437	437	0.462	600
438	438	0.463	600
439	439	0.464	600
440	440	0.464	600
441	441	0.465	600
442	442	0.466	600
443	443	0.467	600
444	444	0.468	600
445	445	0.469	600
446	446	0.469	600
447	447	0.47	600
448	448	0.471	600
449	449	0.472	600
450	450	0.473	600
451	451	0.474	600
452	452	0.474	600
453	453	0.475	600
454	454	0.476	600
455	455	0.477	600
456	456	0.478	600
457	457	0.478	600
458	458	0.479	600
459	459	0.48	600
460	460	0.481	600
461	461	0.481	600
462	462	0.482	600
463	463	0.483	600
464	464	0.484	600
465	465	0.485	600
466	466	0.486	600
467	467	0.486	600
468	468	0.487	600
469	469	0.488	600
470	470	0.489	600
471	471	0.489	600
472	472	0.49	600
473	473	0.491	600
474	474	0.492	600
475	475	0.492	600
476	476	0.493	600
477	477	0.494	600
478	478	0.495	600
479	479	0.496	600
480	480	0.497	600
481	481	0.498	600
482	482	0.499	600
483	483	0.5	600
484	484	0.501	600
485	485	0.502	600
486	486	0.502	600
487	487	0.503	600
488	488	0.504	600
489	489	0.504	600
490	490	0.505	600
491	491	0.506	600
492	492	0.507	600
493	493	0.507	600
494	494	0.508	600
495	495	0.509	600
496	496	0.51	600
497	497	0.51	600
498	498	0.511	600
499	499	0.512	600
500	500	0.513	600
501	501	0.513	600
502	502	0.514	600
503	503	0.515	600
504	504	0.516	600
505	505	0.516	600
506	506	0.517	600
507	507	0.518	600
508	508	0.519	600
509	509	0.52	600
